question_id,cognitive_level,cognitive_atomic,question_prototype,question_text,answer_generation_rule,answer_instruction,Answer Type,metric
ad_11,Pattern,"TR,PC",Loss of sensitivity to glucose,Which periods from the 24th to 30th day indicate potential sensor drift?,Extract data from 24th to 30th day; Timestamps of data points with label: positive_spike or negative_spike or repeated_reading or zero_reading,"Focus on the data collected from the 24th to the 30th day. Look for time points where glucose readings either drop to zero, remain constant with fluctuating noise, or show sudden spikes. These patterns suggest a loss of sensor sensitivity, which could result from incomplete insertion or dislocation of the sensor, causing the signal to average over a larger area than intended. Identifying these specific patterns within the specified timeframe reveals when sensor drift likely occurred. ","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_12,Pattern,"TR,PC",Missing signal,Was there a data dropout over the last weekend?,"Extract 28th and 29th day; Periods between data points with label: [missing_start, missing_end]","Extract data from the last weekend. Scan the glucose data for any intervals where readings are invalid, such as those recorded as NaN or null values. Additionally, detect gaps between consecutive timestamps that exceed the expected sampling interval, as these indicate unrecorded data. Together, these patterns reveal periods where glucose monitoring was interrupted or incomplete. ","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_13,Pattern,"TR,PC",Spike readings,Were there any unexpected glucose spikes in the last week?,Extract data from 24th to 30th day; Timestamps of data points with label: positive_spike or negative_spike,Examine the data from the 24th to the 30th day. Scan the CGM data for timestamps where the glucose levels rise or fall sharply compared to surrounding readings. Return a list of time intervals where the blood glucose readings show abrupt increases or decreases of approximately 60 mg/dL or more compared to the previous reading. ,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_14,Pattern,"TR,PC",Spike readings,Was there a rapid drop in glucose in the 14th day?,Extract data in 14th day; Timestamps of data points with label: negative_spike,Examine the data from the 14th day. Scan the CGM data for timestamps where the glucose levels fall sharply compared to surrounding readings.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_15,Pattern,"TR,PC",Spike readings,Was there a glucose drop of more than 50 mg/dL at any time in the first week?,Extract data from 1st to 7th day; Timestamps of data points with label: negative_spike,Examine the data from the 1st to 7th day. Scan the CGM data for timestamps where the glucose levels fall more than 50 mg/dL compared to surrounding readings.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_16,Pattern,"TR,PC",Spike readings,Did my glucose rise quickly this morning?,Extract 30th day's data in the morning (6 am–12 pm); Timestamps of data points with label: positive_spike,"Review the data from the 30th day between 6 a.m. and 12 p.m. Look for time points where glucose levels show a sharp upward shift over a short period, standing out clearly from surrounding readings.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_17,Descriptive,QC,Hypoglycemia,When did my most recent episode of hypoglycemia occur?,"Periods between most recent data points with hypoglycemia label : [hypoglycemia_start, hypoglycemia_end]",Find the latest portion of the data for a period where glucose readings consistently fall below 70 mg/dL.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_18,Memory,"TR,QC",Nocturnal hypoglycemia ,During which time intervals at night did hypoglycemia episodes occur?,"Periods between nocturnal data points (12 am–6 am) with hypoglycemia label : [hypoglycemia_start, hypoglycemia_end]",Focus on the data recorded between 12 a.m. and 6 a.m. Identify periods where glucose readings consistently fall below 70 mg/dL.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_19,Memory,"TR,QC",Nocturnal hypoglycemia,Were there any prolonged hypoglycemia episode overnight?,"Periods between nocturnal data points (12 am–6 am) with hypoglycemia label : [hypoglycemia_start, hypoglycemia_end] & (end-start) > 1h",Examine glucose data recorded between 12 a.m. and 6 a.m. Identify continuous periods where readings remain below 70 mg/dL for longer than one hour.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_20,Memory,"ER,QC",Hypoglycemia,Were there any time intervals in the last week when I experienced severe hypoglycemia?,"Extract last week's data; Periods between data points with hypoglycemia label : [hypoglycemia_start, hypoglycemia_end]","Examine glucose data from the 24th to the 30th day. Look for extended intervals where glucose readings consistently remain well below normal levels, particularly under 70 mg/dL, across a continuous sequence of readings.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_21,Pattern,PC,Hypoglycemia and hyperglycemia ,Were there any periods where a hypoglycemia event was followed by a hyperglycemia event within 2 hours?,"Periods between data points: [hypoglycemia_start, hypeglycemia_end] if (hyperglycemia_start - hypoglycemia_start) < 2 hrs",Scan the data for sequences where glucose levels first drop below 70 mg/dL and then rise above 180 mg/dL shortly afterward. Focus on cases where the time between the initial drop and the subsequent rise is less than two hours.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_22,Descriptive,QC,Hypoglycemia,How long was my last episode of hypoglycemia?,Length of the most recent period of data points with a hypoglycemia label: hypoglycemia_end - hypoglycemia_start,Identify the latest continuous period during which glucose readings remain below 70 mg/dL. Calculate the time elapsed between the beginning of this low glucose interval and the point when glucose levels return above the threshold. This difference represents the length of the most recent hypoglycemia event.,int,sMAPE
ad_23,Memory,"TR,QC",Hyperglycemia ,At what time interval did I enter hyperglycemia on the 25th day?,Extract the Wednesday data. Periods of the data with the label hyperglycemia,Examine the glucose data recorded on the 25th day and locate continuous periods during which glucose readings consistently exceed 180 mg/dL.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_24,Pattern,"ER, PC",Spike readings,Was there any significant glucose spikes after lunch last Friday (the 27th day)?,Extract the data from 12 am to 6 pm on the 27th day. Timestamps of data points with label: positive_spike,Review the data from 12 am to 6 pm on the 27th day. Identify moments where glucose levels sharply increase compared to preceding readings.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_25,Descriptive,QC,Hypoglycemia,How many times did I experience hypoglycemia?,Times of hypoglycemia events,"To determine the number of hypoglycemia events, count each distinct period where glucose readings consistently fall below 70 mg/dL, separated by intervals in which glucose levels return above this threshold. Each such continuous stretch represents a separate episode of low blood glucose.",int,sMAPE
ad_26,Memory,"TR,QC",Hypoglycemia,How many times did I have hypo events in the last week?,Extract data from the 24th to the 30th day. Count the number of hypoglycemia events (continuous period counts as 1 event),Examine the data from the 24th to the 30th day and count each continuous period where glucose readings remain below 70 mg/dL. Treat each uninterrupted stretch of low glucose as a single event.,int,sMAPE
ad_27,Memory,"TR,QC",Hyperglycemia ,How many times did I have hyperglycemia events in the last week?,Extract the data from this week. Count the number of hyperglycemia events,Review the data from the past seven days and count each continuous period where glucose readings remain above 180 mg/dL. Treat each uninterrupted stretch of elevated glucose as a single event.,int,sMAPE
ad_28,Memory,"TR,QC",Hyperglycemia ,Were there any extended periods of hyperglycemia lasting over 4 hours during the last week?,"Extract the data from last week. Periods between data points with hyperglycemia label : [hyperglycemia_start, hyperglycemia_end] & (end-start) > 4h","Examine the data from the past week for continuous stretches where glucose readings remain above 180 mg/dL. Focus on intervals where the duration between the start and end of elevated glucose levels exceeds four hours, indicating prolonged episodes of high blood sugar.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_29,Pattern,PR,Hazard recover,How long did it generally take to reach target range after a prolonged hyperglycemia episode?,Average value of the time BG returns to TIR minus the time the hyperglycemia event start,"Examine each instance where glucose levels return to the target range (typically 70–180 mg/dL) following a period of elevated readings above 180 mg/dL. For each event, calculate the time difference between when hyperglycemia start and when glucose re-enters the target range. Compute the average of these time differences across all such events to determine the typical delay in returning to stable glucose levels.",int,sMAPE
ad_30,Descriptive,QC,Hazard recover,How long did I recover from the last hypoglycemic event?,Extract the last hypoglycemic event. The value of the time BG returns to TIR minus the time the hyperglycemia event start,Examine the most recent period of low glucose readings below 70 mg/dL. Identify the time when this hypoglycemia episode begins and the time when glucose levels first return to the target range of 70–180 mg/dL. Calculate the time difference between these two points to determine how long it took to recover from the onset of the last hypoglycemic event.,int,sMAPE
ad_31,Memory,CA,Comparison,What day was my glucose control the most out of range?,Count the number of hypo and hyper labels each day. The day has the max value,"Examine each day by counting the total number of glucose readings that fall outside the target range—specifically, those below 70 mg/dL and above 180 mg/dL. Identify the day with the highest combined count of these out-of-range readings.",int,Accuracy
ad_32,Memory,CA,Comparison,What was my longest time spent (in minutes) in hyperglycemia?,Compute the duration in minutes of all hyperglycemia events. The max value of them,"Examine all periods where glucose readings remain continuously above 180 mg/dL. For each event, calculate the duration from the start to the end of elevated readings. Identify the longest of these durations to determine the maximum time spent in a single hyperglycemia episode.",int,sMAPE
ad_33,Pattern,PC,Comparison,"My glucose dropped fast after lunch today. Has this happened before, and if so, when?",Extract negative_spike label within 2 hours after lunch,Examine the data within the two-hour window following lunch for each day. Identify instances where glucose levels show a sharp and sudden decline compared to surrounding readings.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_34,Memory,CA,Hazard,Has the number of hazards increased in the last week compared to the first week?,"Compute the hyper and hypo labels for the last week and the first week. If increased, then 1 else 0","Examine and compare the number of glucose readings outside the target range—specifically those indicating low (below 70 mg/dL) and high (above 180 mg/dL) values—during the first and last weeks. Count the total number of such events in each week. If the combined count is higher in the last week than in the first, it indicates an increase in glucose hazards.",categorical,Accuracy
ad_35,Memory,CA,Hazard,Was there a new time of day when I experienced hypoglycemia in the last week?,Extract all hypo events hour in the first 3 weeks and the last week. Hours that do not appear before,"Examine all hypoglycemia events from the first three weeks and record the hours during which they occurred. Then, review hypoglycemia events from the last week and note the hours they took place. Identify any hours in the last week that were not present in the earlier period, indicating new times of day when hypoglycemia occurred.",list of int,Accuracy
ad_36,Pattern,PC,Post-lunch glucose peak,My post-lunch glucose peaked at 220 mg/dL. What other days this month had similar unusual responses?,Extract timestamps that exceed 220 mg/dL in 2 hours after lunch,Examine glucose data within the two-hour period following lunch for each day of the month. Identify all instances where glucose levels exceed 220 mg/dL during this timeframe.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_37,Pattern,PC,Rollercoaster pattern,Did I experience a rollercoaster pattern (rapid high-low-high cycles)?,"Extract events that have hyper, hypo, and hyper events with no longer than 2 hours interval","Examine the data for sequences where a period of high glucose levels (above 180 mg/dL) is followed by a low (below 70 mg/dL) glucose episode and then another high glucose episode, with each transition occurring within two hours.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_38,Pattern,PR,Spike readings,My CGM shows a glucose spike at 2 am for the past three nights. Is this consistent with my normal pattern?,If have spike happens between 1 am to 3 am over 15 days then 1 else 0,"Examine glucose data from the past days, focusing on the time window between 1 a.m. and 3 a.m. Identify how often a noticeable spike in glucose occurs during this period. Return days that have similar pattern.",list of int,Accuracy
ad_39,Pattern,"TR,ER,PR",Patterns,Were there any abnormal glucose response periods within 2 hours after lunch during the last week,Extract last week's data. Periods with faulty label 2 hours after lunch,"Examine the data from the last week, focusing on the two-hour window following lunch each day. Examine the CGM data for periods containing patterns that exceed normal behaviours. For example, positive or negative spike readings (sudden, implausible changes in glucose levels), repeated readings (identical values across multiple timestamps), positive or negative biased readings (consistent offset from expected levels), minimize or maximize readings (artificial flattening at extreme low or high values), zero readings (glucose values exactly zero), and repeated episodes (segments of data that repeat over time).","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_40,Pattern,"TR,PC",Repeated readings,Were there any overnight periods with unusually stable CGM readings?,Extract data at night (12 am-6 am). Timestamps of data points with label: repeated_reading,"Examine the glucose data recorded between 12 a.m. and 6 a.m. Identify time points where readings remain nearly unchanged across multiple consecutive measurements, showing minimal variability. These stretches of repeated values indicate unusually stable overnight CGM readings.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_41,Memory,"TR,CA",Comparison,On which day this week was my glucose pattern most ideal?,The day with the fewest faulty labels and hazards,"Examine each day from the last 7 days and evaluate the number of readings that fall outside the target glucose range—either high or low—as well as those marked by irregularities. Identify the day with the fewest such instances, as it reflects the most stable and ideal glucose pattern during the week. Return the day's number between 1-7.",int,Accuracy
ad_42,Pattern,PC,Sensor error,Were there any low glucose readings that might have been caused by a sensor error?,"Extract data with BG < 80. Periods with faulty label: zero_reading, negative_bias, min_reading, repeapted_reading, negative_spike","Examine all glucose readings below 80 mg/dL and identify those occurring during periods with irregular sensor pattern, such as zero values, consistent underestimation, minimal readings, repeated identical values, or sudden drops. These instances suggest that low glucose measurements may be due to sensor errors rather than true physiological changes.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_43,Pattern,PC,Communication Loss,Were there any periods when my glucose data was missing or the CGM device stopped reporting?,"Periods between data points with label: [missing_start, missing_end]","Identify all periods where the glucose readings are invalid (e.g., NaN or null) or gaps between consecutive timestamps exceeding the expected sampling interval.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_44,Pattern,PR,Process-Aware Attacks,Are there any likely wrong meal registrations?,Timestamps of data points with label: false_meal,Identify meal times that occur at irregular or unexpected intervals compared to the typical daily pattern. Such inconsistencies in meal timing may suggest incorrect or missing meal registrations.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_45,Pattern,PC,Replay Attacks,Were there any periods with suspiciously repeated or injected readings that may indicate replay attacks?,"Periods of data points with label: repeated_episode, reapted_readings","Identify periods where glucose readings stay constant for unusually long durations and detect segments of data that recur repeatedly over time. These patterns of identical or recurring values indicate potential repeated or artificially injected measurements, suggesting anomalies beyond typical physiological variations.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_46,Pattern,"ER,PC","Personalized insulin manipulation
 attack",Were there any unsafe controller actions—such as excessive insulin delivery or false dosing—during or shortly after my typical workout periods?,"Periods with data labelled bias_basal, max_basal, and false_bolus during and 1 hour after exercise","Identify periods during and within one hour after workout where insulin delivery shows unusually high rates, unexpected increases, or dosing patterns inconsistent with normal behaviour. These irregularities in insulin administration around exercise may indicate unsafe controller actions such as excessive or incorrect dosing.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_47,Pattern,PC,Bias Injection Attacks,"Were there any CGM readings that may have been influenced by biased data injection, such as implausible upward or downward shifts?","Periods with data labelled: negative_bias, positive_bias",Identify periods where glucose readings exhibit implausible and consistent shifts either upward or downward that deviate from expected physiological trends. These unusual changes suggest the presence of biased data alterations affecting the accuracy of the measurements.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_48,Pattern,PR,Unauthorized Remote Control,Were there any periods indicating unauthorised access or manipulation of my insulin delivery?,"Periods with data labelled: false_bolus, bias_basal, max_basal, min_basal","Identify periods where insulin delivery patterns show unexpected or abnormal behaviours, such as inappropriate bolus doses and timing or unusual basal delivery patterns that deviate from typical settings. These irregular insulin delivery patterns suggest possible unauthorised access or manipulation of the insulin administration system.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_49,Pattern,PR,Command Manipulation Attack,Were there any times I received insulin doses that seemed unusual compared to my usual treatment pattern?,"Periods with data labeled with faulty injection behavior: false_bolus, bias_basal, max_basal, min_basal","Identify periods where insulin delivery patterns show unexpected or abnormal behaviours, such as inappropriate bolus doses and timing or unusual basal delivery patterns that deviate from typical settings. These irregular insulin delivery patterns suggest possible unauthorised access or manipulation of the insulin administration system.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_50,Pattern,PC,Saturation-based Sensor Spoofing Attacks,Are there any readings likely to be affected by saturation-based sensor spoofing attacks?,Periods with data labelled with: max_reading,Identify periods where glucose readings consistently reach unusually high maximum values that exceed typical physiological limits. These sustained peaks suggest the possibility of sensor saturation caused by spoofing attacks rather than genuine glucose fluctuations.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_51,Pattern,PR,False data injection attack,Are there readings that might have been faked by false data injection attack?,Periods with CGM reading-related fault labels,"Examine the CGM data for periods containing patterns that exceed normal behaviours. For example, positive or negative spike readings (sudden, implausible changes in glucose levels), repeated readings (identical values across multiple timestamps), positive or negative biased readings (consistent offset from expected levels), minimize or maximize readings (artificial flattening at extreme low or high values), zero readings (glucose values exactly zero), and repeated episodes (segments of data that repeat over time).","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_52,Pattern,PR,Malicious pump driver,When did my insulin pump deliver abnormal basal rates that might indicate malfunction or attack?,Periods with basal-related fault labels,"Identify periods where the basal insulin delivery shows unexpected patterns, such as adding or subtracting a bias from expectation, suddenly maximised or minimised delivery, or mismatches between reported and actual insulin—suggest abnormal behaviour potentially caused by device malfunction or external interference.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_53,Pattern,PC,Miscalibration,Were there any time intervals when my sensor readings showed signs of possible miscalibration?,"Periods with data labelled with: positive_bias, negative_bias","Identify time intervals where glucose readings display consistent upward or downward shifts that deviate from usual levels without a clear physiological cause. These sustained deviations suggest possible miscalibration of the sensor, where measured values are systematically offset from actual glucose levels.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_54,Pattern,PC,Pressure-induced sensor attenuation,Is there any period that may indicate pressure-induced sensor attenuation?,Timestamps with data labelled: negative_spike,"Identify periods where glucose readings show sudden, sharp drops that quickly return to previous levels without a physiological trigger. These abrupt downward shifts followed by rapid recovery may indicate pressure-induced sensor attenuation, where external pressure on the sensor causes temporary false low readings.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_55,Pattern,"ER,PC",Exercise spikes ,"Were there strange, sudden spikes in my readings that could’ve been caused by the exercise?","Timestamps with data labelled: negative_spike, positive_spike during excercise",Identify moments during exercise periods where glucose readings show abrupt upward or downward changes that differ sharply from surrounding values.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_56,Pattern,PC,Loss of sensitivity to glucose,Were there periods when my sensor seemed less responsive or sensitive to changes in glucose?,Timestamps of data points with label: repeated_reading or zero_reading,Identify periods where glucose readings remain smaller changes compared with the usual across multiple consecutive measurements or where values drop to zero. These patterns suggest times when the sensor may have been less responsive or showed reduced sensitivity to actual changes in glucose levels.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_57,Pattern,PC,Lowered local glucose concentration,Is there any period that may indicate the lowered local glucose concentration?,Periods with data labelled with negative_bias longer than 6 hours,"Identify extended periods where the average glucose readings remain consistently lower than usual without matching physiological patterns. These prolonged decreases may reflect a locally reduced glucose concentration near the sensor, potentially caused by 1) bleeding caused by insertion into subcutaneous tissue, 2) foreign body response, local fibrous tissue after years of sensing in same subcutaneous area 3) Bleeding caused by sensor dislocation during physical activity 4) Sensor enclosed by peritoneal wall prohibiting glucose diffusion.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_58,Pattern,PC,Stop delivery,Was there any period where it looked like insulin delivery may have stopped completely?,"Periods with data labelled with: min_basal, unknow_stop",Identify periods where insulin delivery either drops to the lowest possible rate or where reported delivery appears normal but does not effectively impact blood glucose levels at all.,"list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_59,Pattern,PC,Stop delivery,Were there any periods when insulin delivery appeared normal but was actually stopped or ineffective?,Periods with data labelled with: unknow_stop,"Identify periods when insulin delivery drops to the minimum level or when the reported delivery remains normal while glucose levels do not respond as expected. These periods of low or ineffective insulin action suggest possible interruptions, under-delivery, or malfunctions in the insulin delivery system despite normal reporting.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_60,Pattern,PC,Under delivery,Were there periods when insulin delivery was lower than the controller indicated?,Periods with data labelled with: unknown_under,"Identify periods when insulin delivery appears normal based on controller reports but the actual delivery is consistently lower than indicated, as evidenced by reduced physiological effects or adjustments in the patient's blood glucose levels. These discrepancies suggest times when actual insulin delivery was less than intended or recorded.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_61,Pattern,PC,Under delivery,"Was there any time when it seemed like I was getting insulin normally, but the actual amount was less than what it was supposed to be?",Periods with data labelled with: unknow_under,"Identify periods when insulin delivery appears normal based on controller reports but the actual delivery is consistently lower than indicated, as evidenced by reduced physiological effects or adjustments in the patient's blood glucose levels. These discrepancies suggest times when actual insulin delivery was less than intended or recorded.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_62,Pattern,PC,Stop delivery,Were there any periods when the insulin reservoir appeared empty?,Periods with data labelled with: unknow_stop,"Identify periods where insulin delivery appears to continue normally in reported data, but there is no corresponding effect on glucose levels, suggesting a complete lack of actual insulin administration. These patterns may indicate times when the insulin reservoir was empty, leading to unintentional missed delivery despite normal controller behavior.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_63,Pattern,PC,Stop delivery,Were there any periods when my infusion set seemed to have gotten blocked or kinked?,Periods with data labelled with: unknow_stop,"Identify periods where reported insulin delivery appears normal, but glucose levels do not respond as expected, indicating no actual insulin effect. These discrepancies may suggest that the infusion set was blocked or kinked, preventing insulin from reaching the body despite proper system operation.","list of dict {""start"": int, ""end"": int}",Affinity F-score
ad_64,Pattern,PC,Under delivery,Was there any period when insulin might have leaked out or didn’t get absorbed like it normally does?,Periods with data labelled with: unknow_under,"Identify periods where insulin delivery appears normal, but glucose levels do not decrease as expected, indicating reduced effectiveness. These patterns may suggest that insulin leaked out or was not properly absorbed, resulting in lower than anticipated impact on glucose despite standard delivery behavior.","list of dict {""start"": int, ""end"": int}",Affinity F-score
