question_id,cognitive_level,cognitive_atomic,question_prototype,question_text,answer_generation_rule,answer_instruction,answer_type,metric,note,
pm_20 (removed from calculation as it is too hard to compare values),Memory,,,"How did the patient's blood glucose respond to breakfast on week 2, day 7?",Compare baseline glucose at meal time to maximum value in post-meal window (3 hours) on {day_name}.,"Return a dictionary containing the baseline glucose value (the glucose value immediately before the meal), the peak glucose value, and the time of the peak (in minutes from the start) within the 3-hour post-meal window on week 2, day 7. Use the keys 'Baseline', 'Peak', and 'Peak_time'.",dict,"{'Baseline': 'sMAPE', 'Peak': 'sMAPE', 'Peak_time': 'sMAPE'}",,
pm_21,Memory,"ER,TR,QC",Postprandial peak glucose,"What was the peak glucose level after lunch on week 3, day 2?","Find maximum glucose value in the post-lunch window (3 hours) on week 3, day 2.","Identify the data corresponding to week 3, day 2, locate the lunch time for that day, select all glucose readings within the 3-hour window following lunch, find the maximum glucose value among those readings, and return it as a float rounded to one decimal place.",float,sMAPE,,
pm_22,Memory,"ER,TR,QC,TR",Postprandial time to baseline,"How long did it take for glucose levels to return to baseline after dinner on week 3, day 7?","Find first time after peak when glucose returns to within 10% of pre-meal baseline on week 3, day 7, and calculate how long it took in minutes.","Identify week 3, day 7 and locate the dinner time, record the baseline glucose as the value immediately before dinner, select all glucose readings within the 3-hour post-dinner window, find the peak glucose value and its timestamp within this window, then examine subsequent readings after the peak to find the first time point where glucose falls within ±10% of the baseline value, compute the time difference in minutes between the meal time (or peak time if specified) and this return time, and return this duration; if no such point exists within the 3-hour window, return None.",int,sMAPE,2 TR here. ,ER(identify event dinner)->TR(locate time window)->QC->TR(return the time spent to return to baseline)
pm_23,Memory,"ER,TR,QC,CA",Postprandial glucose rise,"Which meal caused the highest glucose rise on week 2, day 3?","Compare spike (peak minus baseline) values for all meals in post-meal window (3 hours) to find largest increase on week 2, day 3.","Identify week 2, day 3 and locate the times of breakfast, lunch, and dinner, for each meal record the baseline glucose as the value immediately before the meal, select glucose readings within the 3-hour post-meal window, compute the glucose rise as the difference between the maximum glucose value in the window and the baseline, compare the glucose rise across the three meals, and return the meal name ('breakfast', 'lunch', or 'dinner') corresponding to the largest glucose rise.",categorical,Accuracy,"Spike means a sudden and discontinuous rise or drop and recovery back to its previous value. In this context, it seems just a slow and continuous rise. Is ""Which meal caused the highest glucose rise on week 2, day 3?"" more proper? Also, in the answer instruction. ",make sense
pm_24,Memory,"ER,TR,QC",Postprandial glucose change rate,"What was the glucose rise rate after the morning snack on week 4, day 1?","Calculate rate of increase from baseline to 30-minute post-meal glucose on week 4, day 1.","Identify week 4, day 1 and locate the morning snack time, record the baseline glucose as the value immediately before the snack, find the glucose value at 30 minutes after the snack, compute the rate of increase as (glucose at 30 minutes minus baseline) divided by 30 minutes, and return the result rounded to one decimal places.",float,sMAPE,,
pm_25,Memory,"ER,TR,QC,CA",Postprandial glucose rise,List all days with a carb-heavy dinner and the corresponding glucose rise.,Find days where the dinner meal has 80 or more carbs and report the glucose spike after dinner as (peak - baseline) in a 3 hour time window.,"Find days where the dinner meal has 80 or more carbs. For each such day, calculate the glucose rise within the 3-hour post-dinner window, defined as the difference between the peak glucose level and the baseline value (the glucose measurement immediately before dinner). Return the results as a list of tuples, where each tuple contains the day number (1–30) and the glucose rise value rounded to one decimal place.","list of tuples (int, float)",F1,Same for 'spike'. Also seems to apply to Accuracy,
pm_26,Memory,"ER,TR,QC",Postprandial glucose peak,"What was the peak glucose level after lunch on week 4, day 1?","Find maximum glucose value in the post-lunch window (3 hours) on week 4, day 1.","Identify week 4, day 1 and locate the lunch time, select all glucose readings within the 3-hour post-lunch window, find the maximum glucose value among those readings, and return it as a float rounded to one decimal place.",float,sMAPE,,
"pm_27 (same to pm_23, should remove)",Memory,,Postprandial glucose rise,"Which meal caused the highest glucose rise on week 1, day 2?","Compare 'spike' (peak - baseline) values for breakfast, lunch, and dinner in post-meal window (3 hours) on week 1, day 2. Select the meal with the highest spike.","Identify week 1, day 2 and locate breakfast, lunch, and dinner times, for each meal record the baseline glucose as the value immediately before the meal, select glucose readings within the 3-hour post-meal window, compute the spike as the difference between the maximum glucose value in the window and the baseline, compare the spikes across the three meals, and return the meal name corresponding to the largest spike: 'breakfast', 'lunch', or 'dinner'.",categorical,Accuracy,Same for 'Spike',
pm_28,Memory,"ER,TR,QC",Exercise glucose peak,"What was the peak glucose level during exercise on week 3, day 5?","Find the maximum glucose level during the exercise period on week 3, day 5.","Identify week 3, day 5 and locate the start and end times of the exercise session, select all glucose readings that occur during this exercise period, find the maximum glucose value among those readings, and return it as a float rounded to one decimal place.",float,sMAPE,,
pm_29,Memory,"ER,TR,QC",Exercise lowest glucose,"What was the lowest glucose level during exercise on week 4, day 7?","Find the minimum glucose level during the exercise period on week 4, day 7.","Identify week 4, day 7 and locate the start and end times of the exercise session, select all glucose readings that occur during this exercise period, find the minimum glucose value among those readings, and return it as a float rounded to one decimal place.",float,sMAPE,,
pm_30,Memory,"ER,TR,QC",Exercise lowest glucose,"What was the lowest glucose level after exercise on week 3, day 2?","Find the minimum glucose value within 180 minutes after exercise ends on week 3, day 2.","Identify week 3, day 2 and locate the end time of the exercise session, select all glucose readings within the 180-minute window following the end of exercise, find the minimum glucose value among those readings, and return it as a float rounded to one decimal place.",float,sMAPE,,
pm_31,Memory,"ER,TR,QC",Exercise glucose change rate,"What was the glucose rate of change after exercise on week 5, day 2?","Calculate the rate of glucose change in the first 60 minutes after exercise on week 5, day 2.","Identify week 5, day 2 and locate the exercise session, record the baseline glucose as the value immediately before exercise starts, find the first glucose measurement at or after the exercise end time, compute the rate of change by subtracting the baseline value from this post-exercise glucose value and dividing by the elapsed time in minutes between the two measurements, and return the result rounded to one decimal place.",float,sMAPE,,
pm_32,Memory,"ER,TR,QC,TR",Exercise time to baseline,"How long did it take for glucose levels to return to baseline after exercise on week 5, day 2?","Find the first time after exercise ends when glucose returns to within 10% of the pre-exercise baseline on week 5, day 2.","Identify week 5, day 2 and locate the exercise session, record the pre-exercise baseline as the glucose value immediately before exercise starts, select all glucose readings within the 2-hour window after exercise ends, find the first reading in this window whose glucose value falls within ±10% of the baseline, calculate the time difference in minutes between the exercise end time and that reading, and return this duration; if no such reading occurs within the 2-hour window, return None.",int,sMAPE,"2 TR here. I guess it means the reasoning chain, but it can reflect in the answer instruction, and here we just label involved atomic reasoning abilities?",We can have two columns in this case
pm_33,Memory,"ER,TR,QC",Exercise glucose average,"What was the patient's average glucose level within 1 hour after reported exercise on week 1, day 3?","Compute the average glucose value for the 60 minutes following the end of exercise on week 1, day 3.","Identify week 1, day 3 and locate the end time of the exercise session, select all glucose readings within the 1-hour window immediately following exercise end, calculate the average of those glucose values, and return the result as a float rounded to one decimal place.",float,sMAPE,,
pm_34,Memory,"ER,TR,QC",Exercise glucose average,"What was the patient's average glucose level during reported exercise on week 1, day 2?","Compute the average glucose value during exercise on week 1, day 2.","Identify week 1, day 2 and locate the start and end times of the exercise session, select all glucose readings that occur during the exercise period, calculate the average of those glucose values, and return the result as a float rounded to one decimal place.",float,sMAPE,,
pm_35,Memory,"ER,TR,QC",Exercise glucose drop,"What was the maximum glucose drop following activity on week 5, day 1?","Subtract the lowest post-exercise glucose value within 2 hour time window from the pre-exercise baseline on week 5, day 1.","Identify week 5, day 1 and locate the exercise session, record the pre-exercise baseline as the glucose value immediately before exercise starts, select all glucose readings within the 2-hour window after exercise ends, find the minimum glucose value in that window, subtract this minimum value from the baseline value, and return the result as a float rounded to one decimal place.",float,sMAPE,,
pm_36,Memory,"ER,TR,QC,TR",Exercise glucose drop,"How long after exercise did the patient's glucose reach its lowest point on week 2, day 5?","Find the time difference (in minutes) between exercise end and the 2-hour post-exercise glucose nadir on week 2, day 5.","Identify week 2, day 5 and locate the end time of the exercise session, select all glucose readings within the 2-hour window after exercise ends, find the minimum glucose value in that window and the first time it occurs, calculate the time difference in minutes between the exercise end time and that reading, and return the duration in minutes.",int,sMAPE,2 TR,
pm_37,Memory,"ER,TR,QC,CA",Exercise glucose stability,On which days does post-exercise glucose tend to be stable?,"For each day with exercise, compute the coefficient of variation (CV) of glucose levels in the 2-hour post-exercise window. If CV is below 36, classify the day as stable. Return a list of day index (1-based) in for which the 2 hour post-exercise glucose coefficient of variation was below 36.","Iterate over all days that contain an exercise session, for each day locate the end time of exercise, select all glucose readings within the 2-hour post-exercise window, calculate the coefficient of variation by dividing the standard deviation of those glucose values by their mean and multiplying by 100, identify the days where this value is less than 36, and return their 1-based day indices as a list.",list of int,F1,Accuracy?,
pm_38,Memory,"TR,QC,CA",Hypoglycemia,Did the patient spend less time in hypoglycemia in week 2 than in week 3?,"Sum minutes with glucose < 70 mg/dL in week 2 and week 3, then compare.Return 'yes' if week 2 has less hypoglycemia time than week 3; otherwise return 'no'.","Select all glucose readings from week 2 and count how many are strictly less than 70 mg/dL, convert that count to minutes of hypoglycemia, then do the same for week 3, compare the total hypoglycemia minutes between the two weeks, and return ""yes"" if week 2 has fewer hypoglycemia minutes than week 3; otherwise return ""no"".",categorical,Accuracy,,
pm_39,Memory,"TR,QC,CA",Stability,Which week had more stable blood glucose: week 1 or week 4?,Compare CV (SD/mean) of glucose readings from week 1 and week 4. Return 'week 1' or 'week 4' based on which has lower coefficient of variation (CV).,"Collect all glucose readings from week 1 and calculate their coefficient of variation by dividing the standard deviation by the mean and multiplying by 100, repeat the same calculation for week 4, compare the two CV values, and return ""week 1"" if week 1 has the lower coefficient of variation; otherwise return ""week 4"".",categorical,Accuracy,,
pm_40,Memory,"TR,QC,CA",Time in range,How did the patient's time in range change from week 1 to week 3?,"Compare % of readings in 70–180 mg/dL range between week 1 and week 3. Return 'increased', 'decreased', or 'no change' depending on how time in range changed.","For week 1, calculate the proportion of glucose readings between 70 and 180 mg/dL inclusive relative to the total number of readings and convert it to a percentage, then do the same for week 3, compare the two percentages, and return ""increased"" if week 3 is higher than week 1, ""decreased"" if week 3 is lower than week 1, or ""no change"" if they are equal.",categorical,Accuracy,,
pm_41,Descriptive,QC,Insulin dosage,What was the patient's total insulin dose?,"Sum all insulin amounts from insulin events. Return the sum of all insulin (including basal and bolus insulin) doses units across the weeks, rounded to one decimal place.","Identify all insulin events across the full monitoring period, including both basal and bolus insulin events, sum all recorded insulin amounts, and return the total rounded to one decimal place.",float,sMAPE,,
pm_42,Descriptive,"ER,QC,TR",Largest insulin dosage,When did the patient receive their largest insulin bolus?,Find the insulin event with the maximum insulin amount. Return the time of the largest bolus as minutes from start of monitoring period.,"Identify all insulin bolus events across the full monitoring period, find the bolus event with the largest insulin amount, determine its timestamp, convert that timestamp to minutes elapsed since the start of the monitoring period, and return that value.",int,sMAPE,Like ER,
pm_43,Memory,"TR,QC",Insulin dosage,What was the patient's total daily insulin dose on day 30?,"Sum all basal and bolus insulin amounts recorded throughout day 30, rounded to 1 decimal places. Return the total insulin dose (including basal and bolus insulin) on day 30, rounded to one decimal place.","Identify all basal and bolus insulin events occurring on day 30, sum their insulin amounts, and return the total insulin dose for that day rounded to one decimal place.",float,sMAPE,,
pm_44,Memory,"TR,QC",Largest insulin dosage,When did the patient receive their largest insulin bolus on day 4?,"Find the insulin bolus event with the highest insulin amount on day 4 and return its timestamp. Return the time of the largest bolus on day 4 as minutes from the start of the dataset (week1 day 1, 00:00).","Identify all insulin bolus events that occur on day 4, find the bolus with the largest insulin amount, determine its timestamp, convert that timestamp to minutes elapsed since the start of the dataset at week 1 day 1 00:00, and return that value.",int,sMAPE,,
pm_45,Memory,"TR,QC,CA",Insulin dosage,Does the patient use more insulin on weekends in the first week?,Calculate the average insulin doses for weekend (day 6 and day 7) of the first week. Compare with the average daily insulin use on weekdays (day 1 to 5) this week. If the weekend average is greater than weekday average. return 'Yes'; otherwise return 'No'.,"For week 1, calculate the total daily insulin dose for each day by summing all basal and bolus insulin amounts, compute the average daily insulin dose across the weekend days (day 6 and day 7), compute the average daily insulin dose across the weekdays (day 1 to day 5), compare the two averages, and return ""Yes"" if the weekend average is greater than the weekday average; otherwise return ""No"".",categorical,Accuracy,The question didn't indicate that the comparison target is weekdays.,Should be okay as the instruction says comparing between weekdays and weekends
